race_id,driver_id,constructor_id,grid,position,position_order,points,laps,status,qualifying_position,q1,q2,q3,winner,podium,dnf,q1_sec,q2_sec,q3_sec,best_quali_time,season,round
2008_1,hamilton,mclaren,1.0,1.0,1,10.0,58,Finished,1.0,1:26.572,1:25.187,1:26.714,1,1,0,86.572,85.187,86.714,85.187,2008,1
2008_1,heidfeld,bmw_sauber,5.0,2.0,2,8.0,58,Finished,5.0,1:25.960,1:25.518,1:27.236,0,1,0,85.96000000000001,85.518,87.236,85.518,2008,1
2008_1,rosberg,williams,7.0,3.0,3,6.0,58,Finished,7.0,1:26.295,1:26.059,1:28.687,0,1,0,86.295,86.059,88.687,86.059,2008,1
2008_1,alonso,renault,11.0,4.0,4,5.0,58,Finished,12.0,1:26.907,1:26.188,\N,0,0,0,86.907,86.188,,86.188,2008,1
2008_1,kovalainen,mclaren,3.0,5.0,5,4.0,58,Finished,3.0,1:25.664,1:25.452,1:27.079,0,0,0,85.664,85.452,87.07900000000001,85.452,2008,1
2008_1,nakajima,williams,13.0,6.0,6,3.0,57,+1 Lap,14.0,1:26.891,1:26.413,\N,0,0,1,86.89099999999999,86.413,,86.413,2008,1
2008_1,bourdais,toro_rosso,17.0,7.0,7,2.0,55,Engine,18.0,1:27.446,\N,\N,0,0,1,87.446,,,87.446,2008,1
2008_1,raikkonen,ferrari,15.0,8.0,8,1.0,53,Engine,16.0,1:26.140,\N,\N,0,0,1,86.14,,,86.14,2008,1
2008_1,kubica,bmw_sauber,2.0,,9,0.0,47,Collision,2.0,1:26.103,1:25.315,1:26.869,0,0,1,86.10300000000001,85.315,86.869,85.315,2008,1
2008_1,glock,toyota,18.0,,10,0.0,43,Accident,9.0,1:26.919,1:26.164,1:29.593,0,0,1,86.919,86.164,89.593,86.164,2008,1
2008_1,sato,super_aguri,19.0,,11,0.0,32,Transmission,20.0,1:28.208,\N,\N,0,0,1,88.208,,,88.208,2008,1
2008_1,piquet_jr,renault,20.0,,12,0.0,30,Clutch,21.0,1:28.330,\N,\N,0,0,1,88.33,,,88.33,2008,1
2008_1,massa,ferrari,4.0,,13,0.0,29,Engine,4.0,1:25.994,1:25.691,1:27.178,0,0,1,85.994,85.691,87.178,85.691,2008,1
2008_1,coulthard,red_bull,8.0,,14,0.0,25,Collision,8.0,1:26.381,1:26.063,1:29.041,0,0,1,86.381,86.063,89.041,86.063,2008,1
