race_id,driver_id,constructor_id,position,q1,q2,q3
2008_1,hamilton,mclaren,1,1:26.572,1:25.187,1:26.714
2008_1,kubica,bmw_sauber,2,1:26.103,1:25.315,1:26.869
2008_1,kovalainen,mclaren,3,1:25.664,1:25.452,1:27.079
2008_1,massa,ferrari,4,1:25.994,1:25.691,1:27.178
2008_1,heidfeld,bmw_sauber,5,1:25.960,1:25.518,1:27.236
2008_1,trulli,toyota,6,1:26.427,1:26.101,1:28.527
2008_1,rosberg,williams,7,1:26.295,1:26.059,1:28.687
2008_1,coulthard,red_bull,8,1:26.381,1:26.063,1:29.041
2008_1,glock,toyota,9,1:26.919,1:26.164,1:29.593
2008_1,vettel,toro_rosso,10,1:26.702,1:25.842,\N
2008_1,barrichello,honda,11,1:26.369,1:26.173,\N
2008_1,alonso,renault,12,1:26.907,1:26.188,\N
2008_1,button,honda,13,1:26.712,1:26.259,\N
2008_1,nakajima,williams,14,1:26.891,1:26.413,\N
2008_1,webber,red_bull,15,1:26.914,\N,\N
2008_1,raikkonen,ferrari,16,1:26.140,\N,\N
2008_1,fisichella,force_india,17,1:27.207,\N,\N
2008_1,bourdais,toro_rosso,18,1:27.446,\N,\N
2008_1,sutil,force_india,19,1:27.859,\N,\N
2008_1,sato,super_aguri,20,1:28.208,\N,\N
2008_1,piquet_jr,renault,21,1:28.330,\N,\N
2008_1,davidson,super_aguri,22,1:29.059,\N,\N
2008_2,massa,ferrari,1,1:35.347,1:34.412,1:35.748
2008_2,raikkonen,ferrari,2,1:35.645,1:34.188,1:36.230
2008_2,kovalainen,mclaren,3,1:35.227,1:34.759,1:36.613
2008_2,hamilton,mclaren,4,1:35.392,1:34.627,1:36.709
2008_2,trulli,toyota,5,1:35.205,1:34.960,1:36.711
2008_2,kubica,bmw_sauber,6,1:35.794,1:34.811,1:36.727
2008_2,heidfeld,bmw_sauber,7,1:35.729,1:34.648,1:36.753
2008_2,webber,red_bull,8,1:35.440,1:34.967,1:37.009
2008_2,alonso,renault,9,1:35.983,1:35.140,1:38.450
2008_2,glock,toyota,10,1:35.891,1:35.000,1:39.656
2008_2,button,honda,11,1:35.847,1:35.208,\N
2008_2,coulthard,red_bull,12,1:36.058,1:35.408,\N
2008_2,piquet_jr,renault,13,1:36.074,1:35.562,\N
2008_2,barrichello,honda,14,1:36.198,1:35.622,\N
2008_2,vettel,toro_rosso,15,1:36.111,1:35.648,\N
2008_2,rosberg,williams,16,1:35.843,1:35.670,\N
2008_2,fisichella,force_india,17,1:36.240,\N,\N
2008_2,nakajima,williams,18,1:36.388,\N,\N
2008_2,bourdais,toro_rosso,19,1:36.677,\N,\N
2008_2,sato,super_aguri,20,1:37.087,\N,\N
2008_2,sutil,force_india,21,1:37.101,\N,\N
2008_2,davidson,super_aguri,22,1:37.481,\N,\N
2008_3,kubica,bmw_sauber,1,1:32.893,1:31.745,1:33.096
2008_3,massa,ferrari,2,1:31.937,1:31.188,1:33.123
2008_3,hamilton,mclaren,3,1:32.750,1:31.922,1:33.292
2008_3,raikkonen,ferrari,4,1:32.652,1:31.933,1:33.418
2008_3,kovalainen,mclaren,5,1:33.057,1:31.718,1:33.488
2008_3,heidfeld,bmw_sauber,6,1:33.137,1:31.909,1:33.737
2008_3,trulli,toyota,7,1:32.493,1:32.159,1:33.994
2008_3,rosberg,williams,8,1:32.903,1:32.185,1:34.015
2008_3,button,honda,9,1:32.793,1:32.362,1:35.057
2008_3,alonso,renault,10,1:32.947,1:32.345,1:35.115
2008_3,webber,red_bull,11,1:33.194,1:32.371,\N
2008_3,barrichello,honda,12,1:32.944,1:32.508,\N
2008_3,glock,toyota,13,1:32.800,1:32.528,\N
2008_3,piquet_jr,renault,14,1:32.975,1:32.790,\N
2008_3,bourdais,toro_rosso,15,1:33.415,1:32.915,\N
2008_3,nakajima,williams,16,1:33.386,1:32.943,\N
2008_3,coulthard,red_bull,17,1:33.433,\N,\N
2008_3,fisichella,force_india,18,1:33.501,\N,\N
2008_3,vettel,toro_rosso,19,1:33.562,\N,\N
2008_3,sutil,force_india,20,1:33.845,\N,\N
2008_3,davidson,super_aguri,21,1:34.140,\N,\N
2008_3,sato,super_aguri,22,1:35.725,\N,\N
2008_4,raikkonen,ferrari,1,1:20.701,1:20.784,1:21.813
2008_4,alonso,renault,2,1:21.347,1:20.804,1:21.904
2008_4,massa,ferrari,3,1:21.528,1:20.584,1:22.058
2008_4,kubica,bmw_sauber,4,1:21.423,1:20.597,1:22.065
2008_4,hamilton,mclaren,5,1:21.366,1:20.825,1:22.096
2008_4,kovalainen,mclaren,6,1:21.430,1:20.817,1:22.231
2008_4,webber,red_bull,7,1:21.494,1:20.984,1:22.429
2008_4,trulli,toyota,8,1:21.158,1:20.907,1:22.529
2008_4,heidfeld,bmw_sauber,9,1:21.466,1:20.815,1:22.542
2008_4,piquet_jr,renault,10,1:21.409,1:20.894,1:22.699
2008_4,barrichello,honda,11,1:21.548,1:21.049,\N
2008_4,nakajima,williams,12,1:21.690,1:21.117,\N
2008_4,button,honda,13,1:21.757,1:21.211,\N
2008_4,glock,toyota,14,1:21.427,1:21.230,\N
2008_4,rosberg,williams,15,1:21.472,1:21.349,\N
2008_4,bourdais,toro_rosso,16,1:21.540,1:21.724,\N
2008_4,coulthard,red_bull,17,1:21.810,\N,\N
2008_4,vettel,toro_rosso,18,1:22.108,\N,\N
2008_4,fisichella,force_india,19,1:22.516,\N,\N
2008_4,sutil,force_india,20,1:23.224,\N,\N
2008_4,davidson,super_aguri,21,1:23.318,\N,\N
2008_4,sato,super_aguri,22,1:23.496,\N,\N
2008_5,massa,ferrari,1,1:25.994,1:26.192,1:27.617
2008_5,kovalainen,mclaren,2,1:26.736,1:26.290,1:27.808
2008_5,hamilton,mclaren,3,1:26.192,1:26.477,1:27.923
2008_5,raikkonen,ferrari,4,1:26.457,1:26.050,1:27.936
2008_5,kubica,bmw_sauber,5,1:26.761,1:26.129,1:28.390
2008_5,webber,red_bull,6,1:26.773,1:26.466,1:28.417
2008_5,alonso,renault,7,1:26.836,1:26.522,1:28.422
2008_5,trulli,toyota,8,1:26.695,1:26.822,1:28.836
2008_5,heidfeld,bmw_sauber,9,1:27.107,1:27.607,1:28.882
2008_5,coulthard,red_bull,10,1:26.939,1:26.520,1:29.959
2008_5,rosberg,williams,11,1:27.367,1:27.012,\N
2008_5,barrichello,honda,12,1:27.355,1:27.219,\N
2008_5,button,honda,13,1:27.428,1:27.298,\N
