race_id,driver_id,constructor_id,grid,position,position_order,points,laps,status
2008_1,hamilton,mclaren,1,1,1,10.0,58,Finished
2008_1,heidfeld,bmw_sauber,5,2,2,8.0,58,Finished
2008_1,rosberg,williams,7,3,3,6.0,58,Finished
2008_1,alonso,renault,11,4,4,5.0,58,Finished
2008_1,kovalainen,mclaren,3,5,5,4.0,58,Finished
2008_1,nakajima,williams,13,6,6,3.0,57,+1 Lap
2008_1,bourdais,toro_rosso,17,7,7,2.0,55,Engine
2008_1,raikkonen,ferrari,15,8,8,1.0,53,Engine
2008_1,kubica,bmw_sauber,2,\N,9,0.0,47,Collision
2008_1,glock,toyota,18,\N,10,0.0,43,Accident
2008_1,sato,super_aguri,19,\N,11,0.0,32,Transmission
2008_1,piquet_jr,renault,20,\N,12,0.0,30,Clutch
2008_1,massa,ferrari,4,\N,13,0.0,29,Engine
2008_1,coulthard,red_bull,8,\N,14,0.0,25,Collision
2008_1,trulli,toyota,6,\N,15,0.0,19,Electrical
2008_1,sutil,force_india,22,\N,16,0.0,8,Hydraulics
2008_1,webber,red_bull,14,\N,17,0.0,0,Collision
2008_1,button,honda,12,\N,18,0.0,0,Collision
2008_1,davidson,super_aguri,21,\N,19,0.0,0,Collision
2008_1,vettel,toro_rosso,9,\N,20,0.0,0,Collision
2008_1,fisichella,force_india,16,\N,21,0.0,0,Collision
2008_1,barrichello,honda,10,\N,22,0.0,58,Disqualified
2008_2,raikkonen,ferrari,2,1,1,10.0,56,Finished
2008_2,kubica,bmw_sauber,4,2,2,8.0,56,Finished
2008_2,kovalainen,mclaren,8,3,3,6.0,56,Finished
2008_2,trulli,toyota,3,4,4,5.0,56,Finished
2008_2,hamilton,mclaren,9,5,5,4.0,56,Finished
2008_2,heidfeld,bmw_sauber,5,6,6,3.0,56,Finished
2008_2,webber,red_bull,6,7,7,2.0,56,Finished
2008_2,alonso,renault,7,8,8,1.0,56,Finished
2008_2,coulthard,red_bull,12,9,9,0.0,56,Finished
2008_2,button,honda,11,10,10,0.0,56,Finished
2008_2,piquet_jr,renault,13,11,11,0.0,56,Finished
2008_2,fisichella,force_india,17,12,12,0.0,55,+1 Lap
2008_2,barrichello,honda,14,13,13,0.0,55,+1 Lap
2008_2,rosberg,williams,16,14,14,0.0,55,+1 Lap
2008_2,davidson,super_aguri,21,15,15,0.0,55,+1 Lap
